state_id,observed_density,random8_mean,random8_p95,random8_z,random8_upper_tail_p
409,0.2396694214876033,0.3120347107438016,0.7024793388429752,-0.3203099870051855,0.44455554444555545
967,0.42402826855123676,0.3059022379269729,0.43468786808009335,1.530653127815577,0.0685931406859314
13063,0.40268456375838924,0.30592595078299784,0.43400447427293065,1.2612972246301009,0.10868913108689131
18486,0.3796116504854369,0.30596456310679615,0.4330097087378641,0.975367057722186,0.17098290170982902
24532,0.43098159509202455,0.30627377300613495,0.4401840490797546,1.5955453212430435,0.062193780621937804
25982,0.42813765182186236,0.3059070850202429,0.4352226720647773,1.604104205900196,0.06109389061093891
37508,0.3959731543624161,0.30606017897091725,0.4317673378076063,1.212723756033433,0.12168783121687832
41909,0.32280701754385965,0.30668596491228073,0.44912280701754387,0.19480089512030216,0.41915808419158085
43236,0.3744343891402715,0.30588110859728507,0.4343891402714932,0.9122947052996432,0.1842815718428157
49678,0.43761467889908257,0.30615394495412845,0.43944954128440367,1.6850473539352582,0.052894710528947106
50537,0.4222972972972973,0.30582060810810807,0.4408783783783784,1.449176602835374,0.08029197080291971
50626,0.40558510638297873,0.3062090425531915,0.42819148936170215,1.3785490603204047,0.0902909709029097
51158,0.4107929515418502,0.30616420704845815,0.42841409691629956,1.4486898589582187,0.07949205079492051
55165,0.4118831822759315,0.305931218529708,0.4390735146022155,1.3620989788314346,0.09569043095690431
57675,0.4426751592356688,0.30575,0.46178343949044587,1.4858137353643204,0.0796920307969203
57837,0.4806451612903226,0.30576145161290325,0.45330645161290206,2.0554165805532145,0.023897610238976102
58938,0.34523809523809523,0.30620884353741495,0.44047619047619047,0.5056211486335273,0.3030696930306969
60482,0.3868194842406877,0.3059464183381088,0.4340974212034384,1.0839749774650107,0.1466853314668533
64591,0.41959183673469386,0.3059105306122448,0.4326530612244898,1.500731023498715,0.07219278072192781
