state_id,frame,n_tokens,n_target_occurrences,cycle8_success_fraction,two_4cycle_success_fraction,wasd_success_fraction,qerf_success_fraction,cycle8_longest_run,two4_longest_wasd_run,two4_longest_qerf_run,best_phase_match_L4,best_phase_match_L8,best_phase_match_L16,count_filtered_WASD,count_filtered_QERF,count_filtered_WASDQERF,succ_within_tokgap1,succ_within_tokgap2,succ_within_tokgap4,succ_within_tokgap8,succ_within_tokgap16,median_tokgap_successor,canonical_cycle_score,all_cycle_mean,all_cycle_p95,canonical_cycle_percentile_among_5040,canonical_cycle_upper_tail_p,best_period,best_nmi,period_perm_p,period_perm_z,null_max_mean,null_max_p95
409,tail207,207,26,0.0,0.0,0.0,0.047619047619047616,1,1,2,0.5,0.375,0.25,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08,0.2,22.976190476190474,1.0,29,0.6676503276687421,0.8691308691308691,-1.0650308261146961,0.7197314967394609,0.8036380489527034
967,tail207,207,238,0.15611814345991562,0.16877637130801687,0.26153846153846155,0.27358490566037735,3,4,3,0.75,0.625,0.4375,0,0,0,0.14345991561181434,0.14767932489451477,0.1518987341772152,0.15611814345991562,0.15611814345991562,0.0,0.15611814345991562,0.13261000602772754,0.18565400843881857,79.08730158730158,0.24836341995635786,32,0.22959288655882032,0.9090909090909091,-1.320579125758002,0.2473991299220906,0.2699254062955996
13063,tail207,207,229,0.13157894736842105,0.13157894736842105,0.19298245614035087,0.30973451327433627,3,3,3,0.75,0.625,0.5625,0,0,0,0.11403508771929824,0.12280701754385964,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.0,0.13157894736842105,0.12468671679197996,0.17982456140350878,60.8531746031746,0.43900019837333865,31,0.21881934503002995,0.9660339660339661,-1.7517130429863108,0.24428430168226103,0.2699264780771712
18486,tail207,207,342,0.10850439882697947,0.10850439882697947,0.17647058823529413,0.24598930481283424,3,3,3,0.75,0.5,0.375,0,0,0,0.09970674486803519,0.10263929618768329,0.10850439882697947,0.10850439882697947,0.10850439882697947,0.0,0.10850439882697947,0.12149141181399245,0.18475073313782991,39.48412698412698,0.6300337234675659,31,0.15232828646126534,0.9240759240759241,-1.355035973970761,0.16764441971611432,0.18704914456310293
24532,tail207,207,267,0.18045112781954886,0.19548872180451127,0.2857142857142857,0.24,3,4,3,0.75,0.625,0.4375,0,0,0,0.16917293233082706,0.18045112781954886,0.18045112781954886,0.18045112781954886,0.18045112781954886,0.0,0.18045112781954886,0.12137486573576799,0.18045112781954886,95.3968253968254,0.05395754810553462,28,0.19185272654689864,0.999000999000999,-2.8711408371753824,0.22857481133011961,0.2508911294932972
25982,tail207,207,282,0.1387900355871886,0.1387900355871886,0.2802547770700637,0.2032520325203252,3,4,3,0.75,0.625,0.375,0,0,0,0.1103202846975089,0.13167259786476868,0.1387900355871886,0.1387900355871886,0.1387900355871886,1.0,0.1387900355871886,0.13014743263853584,0.18505338078291814,62.65873015873016,0.4120214243205713,32,0.18832706732467333,0.985014985014985,-2.021469551279032,0.2136135786167416,0.23526187196500692
37508,tail207,207,142,0.10638297872340426,0.10638297872340426,0.2537313432835821,0.2876712328767123,3,3,3,0.75,0.5,0.375,0,0,0,0.07092198581560284,0.09219858156028368,0.09929078014184398,0.09929078014184398,0.10638297872340426,0.0,0.10638297872340426,0.1276595744680851,0.19858156028368795,35.25793650793651,0.7091846855782583,32,0.33301558926602853,0.8861138861138861,-1.2289395692483585,0.3597452181561662,0.39723768121760367
41909,tail207,207,84,0.13253012048192772,0.13253012048192772,0.16279069767441862,0.28205128205128205,2,2,2,0.75,0.5,0.375,0,0,0,0.10843373493975904,0.12048192771084337,0.12048192771084337,0.13253012048192772,0.13253012048192772,0.0,0.13253012048192772,0.12392426850258176,0.2289156626506024,65.15873015873017,0.4370164649871057,32,0.4466885544749993,0.8711288711288712,-1.138632843319841,0.47673389225936896,0.5214269960462409
43236,tail207,207,292,0.12371134020618557,0.12027491408934708,0.22758620689655173,0.23448275862068965,3,4,3,0.75,0.625,0.375,0,0,0,0.10652920962199312,0.11683848797250859,0.12371134020618557,0.12371134020618557,0.12371134020618557,0.0,0.12371134020618557,0.12763868433971526,0.18900343642611683,51.34920634920634,0.5264828407062091,32,0.21985357365995012,0.0969030969030969,1.2855299293906968,0.20415940719081221,0.22485768503547363
49678,tail207,207,343,0.1023391812865497,0.10526315789473684,0.20348837209302326,0.2485207100591716,3,3,3,0.75,0.5,0.4375,0,0,0,0.09649122807017543,0.1023391812865497,0.1023391812865497,0.1023391812865497,0.1023391812865497,0.0,0.1023391812865497,0.1261487050960735,0.18128654970760233,24.583333333333332,0.7869470343185876,30,0.17850863041266113,0.6823176823176823,-0.538180281791716,0.18434309751065295,0.20307069598958882
50537,tail207,207,234,0.13304721030042918,0.12446351931330472,0.23478260869565218,0.26495726495726496,4,4,3,1.0,0.625,0.4375,0,0,0,0.0944206008583691,0.11158798283261803,0.12446351931330472,0.12875536480686695,0.13304721030042918,0.0,0.13304721030042918,0.1220110361741263,0.18025751072961374,65.71428571428571,0.3866296369767903,31,0.21440184024896702,0.997002997002997,-2.2732245769522583,0.24898139052801513,0.27615195442736196
50626,tail207,207,265,0.13636363636363635,0.14772727272727273,0.2620689655172414,0.211864406779661,3,5,3,0.75,0.625,0.5,0,0,0,0.12878787878787878,0.12878787878787878,0.13257575757575757,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.12716450216450217,0.17803030303030304,66.68650793650794,0.38048006347946833,32,0.23447536104065772,0.2077922077922078,0.8067926178406783,0.22446394299324054,0.2444269914596062
51158,tail207,207,332,0.14501510574018128,0.1510574018126888,0.28205128205128205,0.23563218390804597,4,3,3,1.0,0.5,0.375,0,0,0,0.13897280966767372,0.14501510574018128,0.14501510574018128,0.14501510574018128,0.14501510574018128,0.0,0.14501510574018128,0.12300388433318947,0.17522658610271905,78.96825396825396,0.24677643324737156,30,0.1795401709394369,0.7742257742257742,-0.765316782149906,0.18818889376844833,0.20844890181322426
55165,tail207,207,305,0.08223684210526316,0.08552631578947369,0.25925925925925924,0.14893617021276595,3,3,3,0.75,0.625,0.3125,0,0,0,0.08223684210526316,0.08223684210526316,0.08223684210526316,0.08223684210526316,0.08223684210526316,0.0,0.08223684210526316,0.12734962406015038,0.17763157894736842,7.777777777777778,0.9396945050585201,29,0.19959551301383296,0.5794205794205795,-0.24974061652983795,0.20270324189118602,0.2247290110631556
57675,tail207,207,88,0.1724137931034483,0.1839080459770115,0.3191489361702128,0.28205128205128205,2,3,2,0.75,0.5,0.375,0,0,0,0.14942528735632185,0.14942528735632185,0.16091954022988506,0.16091954022988506,0.16091954022988506,0.0,0.1724137931034483,0.12972085385878487,0.20689655172413793,85.77380952380952,0.20095219202539177,32,0.42071838857283744,0.9600399600399601,-1.667596282652954,0.46633385027324853,0.5114401705656129
57837,tail207,207,241,0.11666666666666667,0.11666666666666667,0.2184873949579832,0.225,2,4,3,0.75,0.625,0.375,0,0,0,0.10416666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.0,0.11666666666666667,0.13154761904761905,0.2125,45.317460317460316,0.5865899623090657,32,0.2154993041598144,0.999000999000999,-2.705767209534949,0.2521955527388298,0.2752743841634998
58938,tail207,207,181,0.1111111111111111,0.12222222222222222,0.18888888888888888,0.23595505617977527,3,3,3,0.75,0.625,0.375,0,0,0,0.1,0.1,0.10555555555555556,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,0.12222222222222222,0.18333333333333332,44.047619047619044,0.623884149970244,32,0.2819529971673529,0.968031968031968,-1.6225462776736543,0.30879662129628743,0.33724379406231975
60482,tail207,207,270,0.11895910780669144,0.11895910780669144,0.22727272727272727,0.22794117647058823,3,4,3,0.75,0.5,0.375,0,0,0,0.10408921933085502,0.10780669144981413,0.11895910780669144,0.11895910780669144,0.11895910780669144,0.0,0.11895910780669144,0.1242697822623473,0.17472118959107807,47.79761904761905,0.570323348541956,32,0.208926938274704,0.9110889110889111,-1.2973345548403115,0.22556506964491707,0.24746725826692342
64591,tail207,207,354,0.14730878186968838,0.14730878186968838,0.23036649214659685,0.2608695652173913,3,3,3,0.75,0.5,0.4375,0,0,0,0.13314447592067988,0.141643059490085,0.14730878186968838,0.14730878186968838,0.14730878186968838,0.0,0.14730878186968838,0.122622420072845,0.1813031161473088,77.97619047619048,0.24856179329498115,28,0.13991804740902097,1.0,-2.963096854852197,0.17206824017503702,0.19173359565323425
