state_id,frame,canonical_cycle_score,all_cycle_mean,all_cycle_p95,canonical_cycle_percentile_among_5040,canonical_cycle_upper_tail_p
409,tail207,0.0,0.08,0.2,22.976190476190474,1.0
409,native,0.0,0.08673469387755102,0.21428571428571427,17.857142857142858,1.0
967,tail207,0.15611814345991562,0.13261000602772754,0.18565400843881857,79.08730158730158,0.24836341995635786
967,native,0.14206128133704735,0.12972542777556703,0.181058495821727,68.17460317460318,0.3560801428288038
13063,tail207,0.13157894736842105,0.12468671679197996,0.17982456140350878,60.8531746031746,0.43900019837333865
13063,native,0.1392757660167131,0.1237564663748508,0.17270194986072424,71.0515873015873,0.3273160087284269
18486,tail207,0.10850439882697947,0.12149141181399245,0.18475073313782991,39.48412698412698,0.6300337234675659
18486,native,0.10512820512820513,0.12161172161172161,0.18717948717948718,36.80555555555556,0.6540368974409839
24532,tail207,0.18045112781954886,0.12137486573576799,0.18045112781954886,95.3968253968254,0.05395754810553462
24532,native,0.17857142857142858,0.12091836734693878,0.17857142857142858,95.2579365079365,0.05693314818488395
25982,tail207,0.1387900355871886,0.13014743263853584,0.18505338078291814,62.65873015873016,0.4120214243205713
25982,native,0.13981042654028436,0.12897765741367637,0.18009478672985782,64.38492063492063,0.3826621702043245
37508,tail207,0.10638297872340426,0.1276595744680851,0.19858156028368795,35.25793650793651,0.7091846855782583
37508,native,0.10227272727272728,0.13068181818181818,0.19886363636363635,28.63095238095238,0.7661178337631422
41909,tail207,0.13253012048192772,0.12392426850258176,0.2289156626506024,65.15873015873017,0.4370164649871057
41909,native,0.14285714285714285,0.12558869701726846,0.23076923076923078,70.71428571428572,0.3602459829398929
43236,tail207,0.12371134020618557,0.12763868433971526,0.18900343642611683,51.34920634920634,0.5264828407062091
43236,native,0.11515151515151516,0.12813852813852813,0.19090909090909092,40.89285714285714,0.6280499900813331
49678,tail207,0.1023391812865497,0.1261487050960735,0.18128654970760233,24.583333333333332,0.7869470343185876
49678,native,0.10294117647058823,0.12545018007202882,0.17436974789915966,24.067460317460316,0.7853600476096013
50537,tail207,0.13304721030042918,0.1220110361741263,0.18025751072961374,65.71428571428571,0.3866296369767903
50537,native,0.12449799196787148,0.12220309810671255,0.18072289156626506,55.53571428571429,0.4858163062884348
50626,tail207,0.13636363636363635,0.12716450216450217,0.17803030303030304,66.68650793650794,0.38048006347946833
50626,native,0.14473684210526316,0.12734962406015038,0.18092105263157895,75.27777777777777,0.28169014084507044
51158,tail207,0.14501510574018128,0.12300388433318947,0.17522658610271905,78.96825396825396,0.24677643324737156
51158,native,0.1424731182795699,0.12173579109062979,0.17204301075268819,78.17460317460318,0.24856179329498115
55165,tail207,0.08223684210526316,0.12734962406015038,0.17763157894736842,7.777777777777778,0.9396945050585201
55165,native,0.0784313725490196,0.12675070028011204,0.17892156862745098,6.369047619047619,0.9476294386034517
57675,tail207,0.1724137931034483,0.12972085385878487,0.20689655172413793,85.77380952380952,0.20095219202539177
57675,native,0.16666666666666666,0.12629399585921325,0.18840579710144928,87.18253968253968,0.17575877802023407
57837,tail207,0.11666666666666667,0.13154761904761905,0.2125,45.317460317460316,0.5865899623090657
57837,native,0.10774410774410774,0.13035113035113036,0.2053872053872054,35.51587301587302,0.674667724657806
58938,tail207,0.1111111111111111,0.12222222222222222,0.18333333333333332,44.047619047619044,0.623884149970244
58938,native,0.09900990099009901,0.12164073550212164,0.18316831683168316,29.424603174603174,0.7649275937314025
60482,tail207,0.11895910780669144,0.1242697822623473,0.17472118959107807,47.79761904761905,0.570323348541956
60482,native,0.11895910780669144,0.1242697822623473,0.17472118959107807,47.79761904761905,0.570323348541956
64591,tail207,0.14730878186968838,0.122622420072845,0.1813031161473088,77.97619047619048,0.24856179329498115
64591,native,0.15204678362573099,0.12336396546922862,0.17738791423001948,80.93253968253968,0.20551477881372743
