letter,State60482_count,other18_mean_count,State60482_freq_per_alpha,other18_mean_freq_per_alpha
W,15,13.38888888888889,0.02148997134670487,0.016856160325128038
A,38,64.61111111111111,0.054441260744985676,0.08533390115907619
S,48,46.0,0.06876790830945559,0.058535961944360754
D,32,29.27777777777778,0.045845272206303724,0.03887478164141199
Q,1,0.9444444444444444,0.0014326647564469914,0.0013048465153291792
E,82,84.38888888888889,0.1174785100286533,0.11372930614570279
R,43,45.94444444444444,0.06160458452722063,0.06019545254957849
F,11,16.11111111111111,0.015759312320916905,0.023761322004913765
