state_id,frame,best_period,best_nmi,period_perm_p,period_perm_z,null_max_mean,null_max_p95
409,tail207,29,0.6676503276687421,0.8691308691308691,-1.0650308261146961,0.7197314967394609,0.8036380489527034
409,native,29,0.6629721899640917,,,,
967,tail207,32,0.22959288655882032,0.9090909090909091,-1.320579125758002,0.2473991299220906,0.2699254062955996
967,native,32,0.16619883117222248,,,,
13063,tail207,31,0.21881934503002995,0.9660339660339661,-1.7517130429863108,0.24428430168226103,0.2699264780771712
13063,native,32,0.16634472232735517,,,,
18486,tail207,31,0.15232828646126534,0.9240759240759241,-1.355035973970761,0.16764441971611432,0.18704914456310293
18486,native,31,0.14649156938337501,,,,
24532,tail207,28,0.19185272654689864,0.999000999000999,-2.8711408371753824,0.22857481133011961,0.2508911294932972
24532,native,28,0.1872187630117716,,,,
25982,tail207,32,0.18832706732467333,0.985014985014985,-2.021469551279032,0.2136135786167416,0.23526187196500692
25982,native,32,0.12250944626596356,,,,
37508,tail207,32,0.33301558926602853,0.8861138861138861,-1.2289395692483585,0.3597452181561662,0.39723768121760367
37508,native,31,0.2677618050606209,,,,
41909,tail207,32,0.4466885544749993,0.8711288711288712,-1.138632843319841,0.47673389225936896,0.5214269960462409
41909,native,32,0.4368846654569588,,,,
43236,tail207,32,0.21985357365995012,0.0969030969030969,1.2855299293906968,0.20415940719081221,0.22485768503547363
43236,native,32,0.1699392281914017,,,,
49678,tail207,30,0.17850863041266113,0.6823176823176823,-0.538180281791716,0.18434309751065295,0.20307069598958882
49678,native,30,0.13539705174795694,,,,
50537,tail207,31,0.21440184024896702,0.997002997002997,-2.2732245769522583,0.24898139052801513,0.27615195442736196
50537,native,32,0.20425083435028554,,,,
50626,tail207,32,0.23447536104065772,0.2077922077922078,0.8067926178406783,0.22446394299324054,0.2444269914596062
50626,native,32,0.2067497478043855,,,,
51158,tail207,30,0.1795401709394369,0.7742257742257742,-0.765316782149906,0.18818889376844833,0.20844890181322426
51158,native,32,0.16282105816364167,,,,
55165,tail207,29,0.19959551301383296,0.5794205794205795,-0.24974061652983795,0.20270324189118602,0.2247290110631556
55165,native,29,0.14673204822116293,,,,
57675,tail207,32,0.42071838857283744,0.9600399600399601,-1.667596282652954,0.46633385027324853,0.5114401705656129
57675,native,30,0.33219445271487713,,,,
57837,tail207,32,0.2154993041598144,0.999000999000999,-2.705767209534949,0.2521955527388298,0.2752743841634998
57837,native,32,0.19296393018943087,,,,
58938,tail207,32,0.2819529971673529,0.968031968031968,-1.6225462776736543,0.30879662129628743,0.33724379406231975
58938,native,32,0.2668183640734516,,,,
60482,tail207,32,0.208926938274704,0.9110889110889111,-1.2973345548403115,0.22556506964491707,0.24746725826692342
60482,native,32,0.208926938274704,,,,
64591,tail207,28,0.13991804740902097,1.0,-2.963096854852197,0.17206824017503702,0.19173359565323425
64591,native,32,0.10647476032878246,,,,
