block,param_mlp,param_attn,param_mlp_anteil,kontext_mlp,kontext_attn,kontext_mlp_anteil
10,0.2069,0.1879,0.524,0.0469,0.2015,0.189
11,0.2477,0.1711,0.592,0.0451,0.0193,0.701
12,0.2646,0.1442,0.647,0.0286,0.1325,0.178
13,0.2385,0.2777,0.462,0.0505,0.0765,0.398
14,0.1731,0.1837,0.485,0.0272,0.1462,0.157
15,0.2927,0.1069,0.732,0.0352,0.0298,0.542
16,0.2863,0.1702,0.627,0.0514,0.0463,0.526
17,0.3519,0.2271,0.608,0.0223,0.0191,0.538
18,0.4362,0.1351,0.763,0.0437,0.0128,0.774
