gruppe,name,vorlage,ueberraschung_1,ueberraschung_2,L50_1,L50_2,dlogp_block0_vork1,dlogp_block1_vork1,dlogp_block2_vork1,dlogp_block3_vork1,dlogp_block4_vork1,dlogp_block5_vork1,dlogp_block6_vork1,dlogp_block7_vork1,dlogp_block8_vork1,dlogp_block9_vork1,dlogp_block10_vork1,dlogp_block11_vork1,dlogp_block12_vork1,dlogp_block13_vork1,dlogp_block14_vork1,dlogp_block15_vork1,dlogp_block16_vork1,dlogp_block17_vork1,dlogp_block18_vork1,dlogp_block19_vork1,dlogp_block20_vork1,dlogp_block21_vork1,dlogp_block22_vork1,dlogp_block23_vork1,dlogp_block0_vork2,dlogp_block1_vork2,dlogp_block2_vork2,dlogp_block3_vork2,dlogp_block4_vork2,dlogp_block5_vork2,dlogp_block6_vork2,dlogp_block7_vork2,dlogp_block8_vork2,dlogp_block9_vork2,dlogp_block10_vork2,dlogp_block11_vork2,dlogp_block12_vork2,dlogp_block13_vork2,dlogp_block14_vork2,dlogp_block15_vork2,dlogp_block16_vork2,dlogp_block17_vork2,dlogp_block18_vork2,dlogp_block19_vork2,dlogp_block20_vork2,dlogp_block21_vork2,dlogp_block22_vork2,dlogp_block23_vork2
bekannt,McQuarrie,1,0.5328,0.0022,3,3,-11.3142,-2.0321,-3.9146,-1.7703,-1.9038,-0.2268,-0.0803,-0.278,-1.3694,0.2727,-0.3008,0.1401,0.107,-0.1246,-0.0696,0.3375,0.4663,-0.0713,-0.3458,0.2336,-0.6103,-0.3976,-0.0096,-2.3269,-13.9038,-0.003,-0.005,-0.0027,-0.0031,0.001,-0.0008,-0.001,-0.0015,-0.0015,-0.0004,0.0002,-0.0098,-0.0015,-0.0071,-0.004,-0.0027,-0.0037,0.001,0.0008,-0.0,0.0008,-0.0017,-0.1875
bekannt,McQuarrie,2,0.0241,0.0005,3,3,-15.8285,-3.5795,-2.6703,-1.8078,-0.0794,-0.0376,0.0065,-0.0018,-0.6272,-0.0025,-0.0845,-0.1818,0.0031,-0.1656,-0.0693,0.0178,0.0215,-0.0547,-0.1018,0.0006,-0.0375,0.0072,-0.0516,-1.4612,-15.4758,-1.226,-0.0017,-0.0162,-0.0006,-0.0004,-0.0012,-0.0017,-0.0032,-0.0002,-0.0016,-0.0,-0.0048,-0.0009,-0.0042,-0.0008,-0.0002,-0.0006,0.0003,0.0001,-0.0002,-0.0003,-0.0017,-0.0626
unbekannt,Celrie,0,16.0791,0.0286,5,21,-0.243,2.7487,0.256,0.5506,-0.4609,0.4192,0.7363,0.2621,0.4187,1.4635,0.2055,0.5161,0.2733,0.4763,-0.0683,0.5098,0.4923,0.1618,1.0539,-0.7333,0.2618,1.3203,0.6206,1.8423,-13.0619,-0.4912,-0.001,-0.1607,-0.1163,-0.0176,-0.1321,-0.0415,-0.0527,-0.0112,-0.1351,0.0157,-0.0212,-0.0715,-0.0299,0.0018,0.0087,0.0214,0.0128,-0.0013,-0.0411,-0.0404,-0.3337,-2.8488
unbekannt,Celrie,1,12.9626,0.0491,1,22,0.4658,-0.4886,0.0232,-0.6894,-0.6062,0.1419,0.5011,-0.1061,-0.5215,0.4834,-0.1261,0.3954,-0.9529,0.6166,-0.2413,-0.4246,-1.1154,-0.1295,0.6122,-0.5707,-1.2788,0.7409,0.7809,0.6903,-11.4346,-1.5282,-0.0514,-0.0552,-0.7971,0.0034,-0.1154,-0.0158,-0.154,-0.0516,-0.0312,0.0287,-0.0115,-0.0455,-0.0363,0.0186,0.0104,0.0329,0.0229,-0.0082,-0.029,-0.0724,-0.4542,-3.4975
unbekannt,Celrie,2,14.0872,0.118,1,22,3.4289,2.7523,-0.1807,-0.1645,-1.9547,-0.0998,0.2244,0.328,-0.136,1.0818,0.122,0.9645,-0.1362,0.6445,-0.0961,0.4249,-0.1022,0.0554,1.1694,-1.667,-1.0933,1.96,0.799,0.4475,-12.7204,-6.6417,0.0712,0.0259,0.0388,0.0464,-0.6776,-0.9905,-0.6528,-0.0201,-0.1888,0.0033,-0.0494,-0.3051,-0.1495,0.0562,0.0338,0.0919,0.0654,0.021,-0.1914,-0.0561,-0.6285,-3.8901
unbekannt,Winrie,0,15.0259,0.0264,11,13,3.3724,1.4779,0.258,-0.1174,0.1034,0.0609,-0.0511,0.0169,0.6962,0.9903,0.0155,-0.6945,0.5191,1.3392,0.1739,0.3743,-0.882,1.8718,1.5163,0.4712,0.5113,0.0141,-1.6717,1.4535,-11.2062,-0.3855,-0.0173,-0.0679,-0.2451,-0.0614,-0.0186,-0.0103,-0.1217,-0.0094,-0.0273,0.0096,-0.0647,0.0034,-0.0534,-0.0113,0.0067,0.018,0.011,-0.0035,-0.0209,-0.011,-0.3926,-1.8938
unbekannt,Winrie,1,13.1054,0.0171,11,14,1.7259,-1.0789,-0.1654,1.1027,-0.4035,-0.6563,-0.9034,-0.2058,0.2331,0.1353,0.1941,0.2331,-0.1996,0.2434,-0.2857,0.1427,-0.8122,0.3289,-0.3259,0.132,-0.6646,-0.6094,-0.1345,1.3278,-11.1105,-0.861,-0.0205,-0.0436,-0.0607,-0.0412,-0.006,0.0034,-0.0414,-0.0085,-0.0283,-0.0214,-0.0052,0.0001,-0.0029,-0.0082,-0.0001,0.0112,0.008,0.0007,-0.0061,-0.0123,-0.3105,-2.2331
unbekannt,Winrie,2,15.6655,0.0716,12,15,5.3762,4.3179,0.2847,-0.172,-1.6261,-1.331,-0.278,-0.5977,0.6415,0.1202,0.3621,-1.1693,0.3652,1.7782,0.6023,-0.0583,-0.4425,1.4705,0.7956,-0.1282,0.2125,0.1314,-1.9486,1.7388,-11.5951,-5.0847,0.0411,-0.0529,-0.1533,-0.1456,-0.0333,-0.0584,-0.1724,0.0042,-0.1636,0.0431,-0.1015,-0.0227,-0.1592,-0.0444,0.0311,0.0366,0.0187,0.0027,-0.0323,-0.0236,-0.5274,-1.577
unbekannt,Pulrie,0,12.7282,0.0055,1,10,0.7146,2.2059,0.0442,0.6891,0.2344,0.6477,0.5873,0.2283,0.8389,1.127,0.2824,0.6018,0.2623,0.6855,0.7532,0.1365,-1.1137,0.7214,-0.4285,-1.9846,0.2914,1.201,-1.1609,0.4829,-11.7559,-0.0522,-0.0074,0.0022,-0.0018,-0.0018,-0.0047,-0.0093,-0.0398,-0.0036,-0.0254,0.0029,-0.0184,0.0023,-0.02,0.0021,-0.0024,0.0031,0.0011,0.0011,-0.0042,-0.0005,-0.0507,-1.7326
unbekannt,Pulrie,1,10.9199,0.014,5,13,-1.0794,0.9762,-0.5515,-1.5311,-0.4104,0.2276,0.1163,-0.3494,-0.2843,-0.1758,0.5688,0.2702,-0.3958,0.4033,0.6644,-0.1572,0.2438,0.2229,-0.915,-2.2899,-0.8178,0.2119,-0.6395,-1.3819,-12.1859,-0.0358,-0.0039,0.0024,0.0006,0.002,0.0013,0.0033,-0.075,-0.0204,-0.0541,0.001,-0.042,-0.002,-0.0087,0.006,-0.0061,0.0068,0.0067,-0.0039,-0.012,-0.0184,-0.2388,-2.7217
